Object Identifier;REQ_Revision;Object_Type;Change_Indication;Object_Status;Implementation_Plan;Verification_Criteria;Safety_Level
BMW-mPADCP-SWS-SwcFaultMgr-2068;9;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_8533;QM
BMW-mPADCP-SWS-SwcFaultMgr-2069;1;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_8534;QM
BMW-mPADCP-SWS-SwcFaultMgr-2071;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_9731;QM
BMW-mPADCP-SWS-SwcFaultMgr-2072;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_9732;QM
BMW-mPADCP-SWS-SwcFaultMgr-2076;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_9682;QM
BMW-mPADCP-SWS-SwcFaultMgr-2078;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_9684;QM
BMW-mPADCP-SWS-SwcFaultMgr-2080;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_9686;QM
BMW-mPADCP-SWS-SwcFaultMgr-2081;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_9687;QM
BMW-mPADCP-SWS-SwcFaultMgr-2083;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Communication_9689;QM
BMW-mPADCP-SWS-SwcFaultMgr-14;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7276;QM
BMW-mPADCP-SWS-SwcFaultMgr-15;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7317;QM
BMW-mPADCP-SWS-SwcFaultMgr-16;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7318;QM
BMW-mPADCP-SWS-SwcFaultMgr-2216;1;Requirement;Added;Approved;23-11_R-460;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7766;QM
BMW-mPADCP-SWS-SwcFaultMgr-2217;1;Requirement;Added;Approved;23-11_R-460;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_7767;QM
BMW-mPADCP-SWS-SwcFaultMgr-22;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_SE_Safety_Controller_SFG_Diagnostic_6283;QM
BMW-mPADCP-SWS-SwcFaultMgr-2110;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2899;QM
BMW-mPADCP-SWS-SwcFaultMgr-2111;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2900;QM
BMW-mPADCP-SWS-SwcFaultMgr-2112;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2901;QM
BMW-mPADCP-SWS-SwcFaultMgr-2311;2;Requirement;Added;Approved;23-11_R-360;BMW_mPAD_CP_SRS_Power_management_6634;QM
BMW-mPADCP-SWS-SwcFaultMgr-27;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3536;QM
BMW-mPADCP-SWS-SwcFaultMgr-1400;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4210;QM
BMW-mPADCP-SWS-SwcFaultMgr-30;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3825;QM
BMW-mPADCP-SWS-SwcFaultMgr-31;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3827;QM
BMW-mPADCP-SWS-SwcFaultMgr-32;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3873;QM
BMW-mPADCP-SWS-SwcFaultMgr-2091;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2873;QM
